sample_id,probability
12,0.8812727272727274
15,0.8597619047619048
29,0.08007070707070707
30,0.057999999999999996
43,0.8787171717171718
44,0.8827453102453103
45,0.9219444444444445
47,0.7250173160173161
51,0.09228571428571428
57,0.70532683982684
59,0.4947020202020203
63,0.789150072150072
70,0.42516666666666664
71,0.431989898989899
75,0.8072561327561327
76,0.8949206349206348
81,0.8462857142857142
90,0.15515079365079365
92,0.9266904761904763
102,0.7957380952380955
107,0.8554285714285714
108,0.7081341991341992
109,0.30509956709956715
110,0.443929292929293
113,0.3836031746031746
122,0.056999999999999995
124,0.10683211233211233
135,0.017
142,0.06681096681096681
144,0.024126984126984125
151,1.0
178,0.3817965367965368
183,0.41787745587745584
184,0.3027284937284937
188,0.98
192,0.9741818181818183
196,0.26206998556998556
203,0.028714285714285713
209,0.09407142857142858
210,0.035333333333333335
216,0.09138150738150738
219,0.9366666666666665
221,0.8387619047619047
227,0.7565000000000001
229,0.9184444444444445
238,0.4753767898767899
240,0.20072322122322123
252,0.15601398601398603
254,0.18660489510489509
259,0.2592087912087912
267,0.9975
268,0.8638100788100788
272,0.973
279,0.04335353535353535
287,0.5538326118326118
288,0.04717171717171717
290,0.008
291,0.03333333333333333
292,0.1536796536796537
293,0.10957142857142856
295,0.19752813852813852
297,0.09713419913419914
298,0.12277777777777776
303,0.9722857142857143
304,0.956111111111111
307,0.9421428571428572
325,0.05930158730158731
333,0.8180158730158729
336,0.24756043956043952
344,0.24128266178266178
347,0.7976996336996338
350,0.8032894491129788
371,0.6847619047619048
376,0.44271139971139967
380,0.9884999999999999
387,0.995
410,0.8546479076479074
411,0.8227619047619048
415,0.7083953546453546
416,0.8813008658008656
420,0.6560901043401043
421,0.9693888888888889
422,0.6452564102564102
426,0.13669444444444445
428,0.24270634920634918
430,0.18713064713064714
432,0.7823903318903318
434,0.7989004329004328
438,0.8283007825507824
439,0.8108968253968254
443,0.7977380952380954
446,0.1278158508158508
449,0.12583333333333335
452,0.5687063492063492
462,0.976
471,0.6962777777777778
479,0.5061464646464647
485,0.6303940781440782
497,0.9042373737373737
498,0.915142857142857
501,0.8931724386724388
505,0.9033369408369409
506,0.7993080808080808
507,0.6683708513708514
527,0.46540018315018317
528,0.40751911976911975
531,0.5815456765456765
553,0.0018181818181818182
555,0.0744047619047619
558,0.013444444444444446
564,0.03166666666666667
565,0.12352092352092353
570,0.02828571428571429
577,0.04409090909090909
582,0.021944444444444447
584,0.06406349206349207
589,0.04368627450980392
598,0.057727272727272724
599,0.030666666666666665
604,0.014166666666666666
605,0.0785672268907563
607,0.036744588744588746
613,0.41453102453102453
626,0.27538528138528134
627,0.281001221001221
633,0.07238095238095238
636,0.08033333333333333
637,0.1789603174603175
640,0.061857142857142854
652,0.02717948717948718
653,0.08954761904761904
654,0.013846153846153847
655,0.1790820845820846
657,0.006666666666666666
662,0.006000000000000001
665,0.035
670,0.35694805194805196
672,0.37586291486291495
677,0.1692142857142857
678,0.1970555555555555
691,0.0115
705,0.009000000000000001
718,0.04764285714285714
720,0.05098412698412699
721,0.10756709956709956
724,0.1573802308802309
730,0.2703326118326118
731,0.13204761904761905
746,0.937873015873016
751,0.9734358974358974
755,0.826436507936508
757,0.915484126984127
765,0.06854329004329004
776,0.02661904761904762
779,0.11550793650793652
782,0.10334426684426683
783,0.13104334554334554
787,0.8282077922077923
790,0.5183847818847819
799,0.7758730158730159
803,0.03733333333333333
805,0.09008008658008658
807,0.0265
808,0.041428571428571426
809,0.1646349206349206
810,0.005151515151515152
829,0.079
831,0.08734126984126984
834,0.1361904761904762
837,0.15876984126984126
844,0.10835064935064935
847,0.24916305916305917
848,0.2382857142857143
857,0.6693023088023088
861,0.47434199134199134
864,0.4920418470418471
880,0.14833333333333334
896,0.9513333333333333
897,0.9772857142857143
898,0.8732092352092353
903,0.9376666666666666
904,0.9734999999999999
907,0.8553362193362194
911,0.9880000000000001
912,0.9217380952380951
915,0.5378888888888889
925,0.2929285714285714
926,0.22191269841269842
931,0.37937085137085136
940,0.017166666666666667
941,0.11401587301587301
944,0.08433333333333333
947,0.021166666666666667
952,0.007333333333333334
958,0.1255844155844156
964,0.10545238095238096
967,0.22870152070152067
969,0.04114285714285714
977,0.12603968253968253
978,0.00893939393939394
981,0.09773809523809524
990,0.19128238428238428
1001,0.15355844155844156
1003,0.7349202741702744
1032,0.2198787878787879
1036,0.6500816993464053
1049,0.2740252525252525
1051,0.3952048229548229
1052,0.25585164835164836
1071,0.21673520923520923
1073,0.3027936507936508
1083,0.16163383838383838
1086,0.24482683982683984
1092,0.42865873015873013
1093,0.4186587301587301
1094,0.3209444444444445
1095,0.9376031746031745
1096,0.8631616161616161
1101,0.8718888888888888
1108,0.3017171717171717
1109,0.3899866522366523
1112,0.601186507936508
1114,0.39282539682539686
1117,0.22503246753246753
1119,0.15156565656565654
1121,0.07338311688311688
1126,0.10286580086580085
1158,0.9626666666666667
1161,0.9317857142857144
1170,0.768358252858253
1173,0.9845
1183,0.9460714285714286
1186,0.9736060606060605
1192,0.7023528138528138
1194,0.7470714285714286
1195,0.593579365079365
1201,0.6191053391053392
1204,0.5991551226551227
1209,0.6655901875901877
1210,0.6546746031746031
1212,0.6735584415584417
1219,0.6437301587301587
1220,0.6895165945165945
1222,0.46795526695526696
1223,0.6389300144300143
1224,0.5295715395715397
1225,0.7638492063492063
1226,0.6068809523809524
1230,0.4729603174603174
1231,0.9971428571428572
1234,0.9505555555555557
1235,0.966
1251,0.972
1255,0.9842857142857143
1258,0.9614199134199134
1260,0.988
1268,0.8158268398268399
1272,0.8359483294483293
1278,0.6099574314574314
1288,0.21105988455988453
1292,0.4058816738816739
1294,0.27515151515151515
1298,0.8550555555555555
1305,0.9206111111111112
1310,0.9225079365079365
1319,0.9313095238095238
1338,0.7008585858585857
1340,0.8197857142857145
1344,0.7182658452658452
1345,0.7784761904761904
1350,0.5670966810966811
1351,0.722595238095238
1354,0.5644947829947831
1357,0.6602210012210012
1359,0.07085714285714285
1360,0.11704761904761905
1362,0.2892460317460317
1366,0.04145165945165945
1371,0.34033394383394383
1379,0.9683333333333333
1397,0.1625238095238095
1398,0.02666666666666667
1411,0.4976825396825397
1416,0.5988809523809523
1423,0.6021428571428572
1433,0.07918650793650793
1436,0.34180402930402937
1443,0.41274037074037073
1446,0.24237789987789984
1448,0.5063888888888888
1456,0.1437142857142857
1464,0.32967736185383245
1468,0.33949999999999997
1469,0.39303907203907207
1471,0.3204053724053725
1477,0.33336158286158296
1482,0.36395670995671003
1485,0.7921962481962482
1490,0.8124242424242424
1496,0.7833131313131314
1498,0.3150238095238096
1499,0.30380996780996783
1504,0.4075952380952381
1505,0.3613724053724054
1512,0.2973214285714286
1513,0.3163297258297258
1520,0.8308809523809524
1530,0.7177373737373739
1532,0.18422222222222223
1536,0.13540476190476192
1539,0.27391558441558445
1543,0.2990830280830281
1550,0.3369488844488845
1553,0.27500144300144297
1557,0.45941991341991345
1563,0.15323076923076923
1564,0.0862835497835498
1565,0.11004761904761905
1580,0.29743939393939395
1582,0.5814365079365079
1586,0.31091666666666673
1590,0.3585371572871574
1599,0.6836168831168831
1600,0.6576438006438008
1609,0.9293160173160173
1611,0.9895
1612,0.9658636363636365
1614,0.23374442224442227
1620,0.03022377622377622
1621,0.021
1630,0.0694040404040404
1652,0.9079523809523807
1654,0.8421587301587301
1657,0.0
1666,0.633692141192141
1675,0.06368627450980392
1683,0.1106862745098039
1684,0.060852941176470596
1694,0.05283333333333333
1695,0.2339891774891775
1699,0.7579494949494949
1702,0.6508438228438229
1710,0.8343015873015872
1720,0.959031746031746
1736,0.0719047619047619
1738,0.07391269841269842
1741,0.08752380952380953
1743,0.15663614163614165
1745,0.11480303030303031
1747,0.9813095238095237
1748,0.9027763347763349
1754,0.9628333333333333
1755,0.9895
1756,0.9321969696969695
1760,0.6948290043290044
1769,0.788547619047619
1770,0.2964978354978355
1773,0.41485714285714276
1775,0.6162857142857143
1780,0.020238095238095236
1788,0.0225
1789,0.03521428571428571
1791,0.031200577200577197
1795,0.07243434343434343
1801,0.10924358974358973
1805,0.05390909090909091
1807,0.0748888888888889
1808,0.14033333333333334
1820,0.40739330114330113
1825,0.23443650793650794
1830,0.26390476190476186
1831,0.31783333333333336
1833,0.9872222222222223
1851,0.986
1859,0.9905555555555555
1860,0.9893333333333334
1874,0.12158730158730158
1876,0.2798461538461538
1879,0.10094444444444445
1881,0.07333333333333333
1891,0.9153463203463204
1892,0.9513095238095238
1902,0.875357142857143
1921,0.30416300366300364
1934,0.9746190476190476
1935,0.9853333333333333
1951,0.98
1952,0.98
1956,1.0
1961,0.9589040404040403
1963,0.9840000000000001
1971,0.8668311688311688
1973,0.8535873015873016
1983,0.06623088023088024
2004,0.027714285714285712
2022,0.9281428571428572
2042,0.8893650793650792
2045,0.31515295815295813
2053,0.9211666666666665
2057,0.9318571428571428
2063,0.8032027417027418
2072,0.4241277056277057
2077,0.4670823065823066
2087,0.8146452436452436
2091,0.9483650793650793
2095,0.9073888888888887
2098,0.9066111111111109
2103,0.18271428571428572
2104,0.0983059163059163
2110,0.12337806637806636
2117,0.27548412698412694
2119,0.10502380952380953
2126,0.9266111111111112
2127,0.9352505827505828
2138,0.8052063492063494
2153,0.15788095238095237
2154,0.14263492063492064
2155,0.8610579975579975
2163,0.737152958152958
2167,0.8640714285714286
2168,0.854444721944722
2177,0.8961031746031746
2178,0.7653555333555333
2181,0.5117698412698413
2182,0.4307539682539683
2184,0.5061984126984127
2185,0.3506695526695527
2189,0.35131024531024535
2191,0.8311746031746031
2197,0.9630555555555556
2199,0.8430555555555556
2202,0.7607698412698412
2206,0.873952380952381
2215,0.9502698412698412
2221,0.9357619047619049
2223,0.6905590520590522
2228,0.9834285714285714
2231,0.9471984126984125
2232,0.9253174603174604
2239,0.5558481240981241
2248,0.5242741702741703
2249,0.43867482517482514
2251,0.378169413919414
2252,0.45926190476190487
2254,0.48044805194805207
2258,0.9275555555555556
2268,0.8901666666666667
2271,0.93
2275,0.9520000000000001
2276,0.9655897435897436
2283,0.7946360306360307
2284,0.5956782106782107
2291,0.8857619047619046
2299,0.7716479076479078
2301,0.6619835164835165
2304,0.9183809523809523
2306,0.8817619047619047
2310,0.4436753246753247
2316,0.19073953823953826
2317,0.36993650793650795
2318,0.4140454545454545
2323,0.371953823953824
2333,0.34330208680208685
2339,0.5051726606726606
2347,0.6350158730158729
2348,0.7208348318348318
2351,0.961888888888889
2357,0.952030303030303
2364,0.9754285714285713
2370,0.2769595959595959
2377,0.07724675324675324
2387,0.6922647907647906
2392,0.23203174603174598
2398,0.237948051948052
2405,0.033499999999999995
2410,0.017
2413,0.11698290598290599
2415,0.0
2417,0.5344761904761905
2431,0.024
2432,0.36493894993894993
2440,0.17535164835164838
2441,0.46679220779220776
2446,0.12092436974789916
2447,0.12613071895424835
2453,0.4500476190476191
